8.00E+03,5.22E-05,5.63E-10,2.46E-02,2.47E-02
1.00E+04,4.26E-05,4.50E-10,2.46E-02,2.46E-02
1.50E+04,2.94E-05,3.00E-10,2.47E-02,2.47E-02
2.00E+04,2.26E-05,2.25E-10,2.47E-02,2.47E-02
3.00E+04,1.56E-05,1.50E-10,2.48E-02,2.48E-02
4.00E+04,1.20E-05,1.13E-10,2.48E-02,2.48E-02
5.00E+04,9.76E-06,9.00E-11,2.48E-02,2.48E-02
6.00E+04,8.25E-06,7.50E-11,2.48E-02,2.48E-02
8.00E+04,6.32E-06,5.63E-11,2.48E-02,2.48E-02
1.00E+05,5.15E-06,4.50E-11,2.48E-02,2.48E-02
