1.00E+00,4.69E-03,9.09E+03,0.00E+00,9.09E+03
1.04E+00,4.97E-03,8.45E+03,0.00E+00,8.45E+03
1.07E+00,5.27E-03,7.86E+03,0.00E+00,7.86E+03
1.07E+00,5.27E-03,8.20E+03,0.00E+00,8.20E+03
1.50E+00,8.97E-03,3.91E+03,0.00E+00,3.91E+03
2.00E+00,1.34E-02,1.99E+03,0.00E+00,1.99E+03
3.00E+00,2.19E-02,7.36E+02,0.00E+00,7.36E+02
4.00E+00,2.93E-02,3.55E+02,0.00E+00,3.55E+02
4.56E+00,3.30E-02,2.54E+02,0.00E+00,2.54E+02
4.56E+00,3.30E-02,7.50E+02,0.00E+00,7.50E+02
4.70E+00,3.39E-02,7.03E+02,0.00E+00,7.03E+02
4.85E+00,3.48E-02,6.59E+02,0.00E+00,6.59E+02
4.85E+00,3.48E-02,8.88E+02,0.00E+00,8.88E+02
5.00E+00,3.57E-02,8.38E+02,0.00E+00,8.38E+02
5.19E+00,3.68E-02,7.62E+02,0.00E+00,7.62E+02
5.19E+00,3.68E-02,8.79E+02,0.00E+00,8.79E+02
6.00E+00,4.13E-02,6.13E+02,0.00E+00,6.13E+02
8.00E+00,5.11E-02,2.89E+02,0.00E+00,2.89E+02
1.00E+01,5.96E-02,1.60E+02,0.00E+00,1.60E+02
1.50E+01,7.58E-02,5.32E+01,0.00E+00,5.33E+01
2.00E+01,8.65E-02,2.40E+01,0.00E+00,2.41E+01
3.00E+01,9.91E-02,7.72E+00,0.00E+00,7.82E+00
3.32E+01,1.02E-01,5.81E+00,0.00E+00,5.91E+00
3.32E+01,1.02E-01,3.51E+01,0.00E+00,3.52E+01
4.00E+01,1.06E-01,2.15E+01,0.00E+00,2.16E+01
5.00E+01,1.09E-01,1.19E+01,0.00E+00,1.20E+01
6.00E+01,1.11E-01,7.21E+00,0.00E+00,7.32E+00
8.00E+01,1.12E-01,3.24E+00,0.00E+00,3.35E+00
1.00E+02,1.10E-01,1.73E+00,0.00E+00,1.84E+00
1.50E+02,1.04E-01,5.42E-01,0.00E+00,6.46E-01
2.00E+02,9.71E-02,2.38E-01,0.00E+00,3.35E-01
3.00E+02,8.63E-02,7.65E-02,0.00E+00,1.63E-01
4.00E+02,7.81E-02,3.53E-02,0.00E+00,1.13E-01
5.00E+02,7.18E-02,1.99E-02,0.00E+00,9.17E-02
6.00E+02,6.66E-02,1.27E-02,0.00E+00,7.93E-02
8.00E+02,5.88E-02,6.60E-03,0.00E+00,6.54E-02
1.00E+03,5.29E-02,4.12E-03,0.00E+00,5.70E-02
1.02E+03,5.23E-02,3.92E-03,0.00E+00,5.62E-02
1.25E+03,4.74E-02,2.65E-03,1.88E-04,5.02E-02
1.50E+03,4.31E-02,1.89E-03,8.71E-04,4.59E-02
2.00E+03,3.68E-02,1.15E-03,2.94E-03,4.09E-02
2.04E+03,3.64E-02,1.11E-03,3.14E-03,4.07E-02
3.00E+03,2.90E-02,6.11E-04,7.41E-03,3.70E-02
4.00E+03,2.42E-02,4.05E-04,1.14E-02,3.60E-02
5.00E+03,2.09E-02,2.99E-04,1.48E-02,3.60E-02
6.00E+03,1.85E-02,2.36E-04,1.77E-02,3.64E-02
7.00E+03,1.66E-02,1.94E-04,2.03E-02,3.71E-02
8.00E+03,1.51E-02,1.65E-04,2.27E-02,3.80E-02
9.00E+03,1.39E-02,1.43E-04,2.48E-02,3.88E-02
1.00E+04,1.29E-02,1.26E-04,2.67E-02,3.97E-02
1.10E+04,1.20E-02,1.13E-04,2.85E-02,4.06E-02
1.20E+04,1.13E-02,1.02E-04,3.02E-02,4.16E-02
1.30E+04,1.06E-02,9.31E-05,3.17E-02,4.24E-02
1.40E+04,1.00E-02,8.56E-05,3.32E-02,4.33E-02
1.50E+04,9.52E-03,7.92E-05,3.45E-02,4.41E-02
1.60E+04,9.07E-03,7.37E-05,3.57E-02,4.48E-02
1.80E+04,8.29E-03,6.46E-05,3.79E-02,4.63E-02
2.00E+04,7.64E-03,5.75E-05,4.00E-02,4.77E-02
2.20E+04,7.10E-03,5.18E-05,4.18E-02,4.90E-02
2.40E+04,6.63E-03,4.72E-05,4.34E-02,5.01E-02
2.60E+04,6.23E-03,4.33E-05,4.49E-02,5.12E-02
2.80E+04,5.88E-03,4.00E-05,4.63E-02,5.22E-02
3.00E+04,5.56E-03,3.71E-05,4.76E-02,5.32E-02
4.00E+04,4.42E-03,2.74E-05,5.27E-02,5.71E-02
5.00E+04,3.69E-03,2.17E-05,5.66E-02,6.03E-02
6.00E+04,3.18E-03,1.80E-05,5.96E-02,6.28E-02
8.00E+04,2.51E-03,1.34E-05,6.39E-02,6.64E-02
1.00E+05,2.08E-03,1.06E-05,6.71E-02,6.92E-02
1.50E+05,1.48E-03,7.03E-06,7.20E-02,7.35E-02
2.00E+05,1.16E-03,5.26E-06,7.50E-02,7.62E-02
3.00E+05,8.24E-04,3.49E-06,7.85E-02,7.93E-02
4.00E+05,6.45E-04,2.62E-06,8.05E-02,8.11E-02
5.00E+05,5.34E-04,2.09E-06,8.18E-02,8.23E-02
6.00E+05,4.57E-04,1.74E-06,8.27E-02,8.32E-02
8.00E+05,3.57E-04,1.30E-06,8.40E-02,8.44E-02
1.00E+06,2.94E-04,1.04E-06,8.48E-02,8.51E-02
1.50E+06,2.05E-04,6.95E-07,8.59E-02,8.61E-02
2.00E+06,1.59E-04,5.21E-07,8.66E-02,8.68E-02
3.00E+06,1.10E-04,3.47E-07,8.73E-02,8.74E-02
4.00E+06,8.52E-05,2.60E-07,8.77E-02,8.78E-02
5.00E+06,6.97E-05,2.08E-07,8.79E-02,8.80E-02
6.00E+06,5.91E-05,1.74E-07,8.80E-02,8.81E-02
